location,buckwalter,part of speech,treebank,arabic,meaning
(26:64:1:2),>azolafo,V,STEM|POS:V|PERF|(IV)|LEM:>uzolifato|ROOT:zlf|1P,أَزْلَفْ,
(26:64:1:3),naA,PRON,SUFFIX|PRON:1P,نَا,
(26:64:2:1),vam~a,LOC,STEM|POS:LOC|LEM:vam~,ثَمَّ,
(26:64:3:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:64:3:2),'aAxariyna,N,STEM|POS:N|LEM:A^xar|ROOT:Axr|MP|ACC,ءَاخَرِينَ,
(26:65:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:65:1:2),>anjayo,V,STEM|POS:V|PERF|(IV)|LEM:>anjaY`|ROOT:njw|1P,أَنجَيْ,
(26:65:1:3),naA,PRON,SUFFIX|PRON:1P,نَا,
(26:65:2:1),muwsaY`,PN,STEM|POS:PN|LEM:muwsaY`|M|NOM,مُوسَىٰ,
(26:65:3:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:65:3:2),man,REL,STEM|POS:REL|LEM:man,مَن,
(26:65:4:1),m~aEa,LOC,STEM|POS:LOC|LEM:maE|ACC,مَّعَ,
(26:65:4:2),hu,^,PRON,هُ,
(26:65:5:1),>ajomaEiyna,N,STEM|POS:N|LEM:>ajomaEiyn|ROOT:jmE|MP|ACC,أَجْمَعِينَ,
(26:66:1:1),vum~a,CONJ,STEM|POS:CONJ|LEM:vum~,ثُمَّ,
(26:66:2:1),>agoraqo,V,STEM|POS:V|PERF|(IV)|LEM:>ugoriqu|ROOT:grq|1P,أَغْرَقْ,
(26:66:2:2),naA,PRON,SUFFIX|PRON:1P,نَا,
(26:66:3:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:66:3:2),'aAxariyna,N,STEM|POS:N|LEM:A^xar|ROOT:Axr|MP|ACC,ءَاخَرِينَ,
(26:67:1:1),<in~a,ACC,STEM|POS:ACC|LEM:<in~|SP:<in~,إِنَّ,
(26:67:2:1),fiY,P,STEM|POS:P|LEM:fiY,فِى,
(26:67:3:1),*a`lika,DEM,STEM|POS:DEM|LEM:*a`lik|MS,ذَٰلِكَ,
(26:67:4:1),la,EMPH,PREFIX|l:EMPH+,لَ,
(26:67:4:2),'aAyapF,N,STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FS|INDEF|ACC,ءَايَةً,
(26:67:5:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:67:5:2),maA,NEG,STEM|POS:NEG|LEM:maA,مَا,
(26:67:6:1),kaAna,V,STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS,كَانَ,
(26:67:7:1),>akovaru,N,STEM|POS:N|LEM:>akovar|ROOT:kvr|MS|NOM,أَكْثَرُ,
(26:67:7:2),hum,PRON,SUFFIX|PRON:3MP,هُم,
(26:67:8:1),m~u&ominiyna,N,STEM|POS:N|ACT|PCPL|(IV)|LEM:mu&omin|ROOT:Amn|MP|ACC,مُّؤْمِنِينَ,
(26:68:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:68:1:2),<in~a,ACC,STEM|POS:ACC|LEM:<in~|SP:<in~,إِنَّ,
(26:68:2:1),rab~a,N,STEM|POS:N|LEM:rab~|ROOT:rbb|M|ACC,رَبَّ,
(26:68:2:2),ka,PRON,SUFFIX|PRON:2MS,كَ,
(26:68:3:1),la,EMPH,PREFIX|l:EMPH+,لَ,
(26:68:3:2),huwa,PRON,STEM|POS:PRON|3MS,هُوَ,
(26:68:4:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:68:4:2),Eaziyzu,N,STEM|POS:N|LEM:Eaziyz|ROOT:Ezz|MS|NOM,عَزِيزُ,
(26:68:5:1),{l,DET,PREFIX|Al+,ٱل,
(26:68:5:2),r~aHiymu,ADJ,STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|NOM,رَّحِيمُ,
(26:69:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:69:1:2),{tolu,V,STEM|POS:V|IMPV|LEM:talaY`|ROOT:tlw|2MS,ٱتْلُ,
(26:69:2:1),Ealayo,P,STEM|POS:P|LEM:EalaY`,عَلَيْ,
(26:69:2:2),himo,PRON,SUFFIX|PRON:3MP,هِمْ,
(26:69:3:1),naba>a,N,STEM|POS:N|LEM:naba>|ROOT:nbA|M|ACC,نَبَأَ,
(26:69:4:1),<ibora`hiyma,PN,STEM|POS:PN|LEM:<iboraAhiym|M|GEN,إِبْرَٰهِيمَ,
(26:70:1:1),<i*o,T,STEM|POS:T|LEM:<i*,إِذْ,
(26:70:2:1),qaAla,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS,قَالَ,
(26:70:3:1),li,P,PREFIX|l:P+,لِ,
(26:70:3:2),>abiy,N,STEM|POS:N|LEM:>abN|ROOT:Abw|MS|GEN,أَبِي,
(26:70:3:3),hi,PRON,SUFFIX|PRON:3MS,هِ,
(26:70:4:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:70:4:2),qawomi,N,STEM|POS:N|LEM:qawom|ROOT:qwm|M|GEN,قَوْمِ,
(26:70:4:3),hi.,PRON,SUFFIX|PRON:3MS,هِ.,
(26:70:5:1),maA,REL,STEM|POS:REL|LEM:maA,مَا,
(26:70:6:1),taEobudu,V,STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|2MP,تَعْبُدُ,
(26:70:6:2),wna,PRON,SUFFIX|PRON:2MP,ونَ,
(26:71:1:1),qaAlu,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP,قَالُ,
(26:71:1:2),wA@,PRON,SUFFIX|PRON:3MP,وا@,
(26:71:2:1),naEobudu,V,STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1P,نَعْبُدُ,
(26:71:3:1),>aSonaAmFA,N,STEM|POS:N|LEM:>aSonaAm|ROOT:Snm|MP|INDEF|ACC,أَصْنَامًا,
(26:71:4:1),fa,REM,PREFIX|f:REM+,فَ,
(26:71:4:2),naZal~u,V,STEM|POS:V|IMPF|LEM:Zal~a|ROOT:Zll|1P,نَظَلُّ,
(26:71:5:1),la,P,PREFIX|l:P+,لَ,
(26:71:5:2),haA,PRON,STEM|POS:PRON|3FS,هَا,
(26:71:6:1),Ea`kifiyna,N,STEM|POS:N|ACT|PCPL|LEM:EaAkif|ROOT:Ekf|MP|ACC,عَٰكِفِينَ,
(26:72:1:1),qaAla,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS,قَالَ,
(26:72:2:1),halo,INTG,STEM|POS:INTG|LEM:hal,هَلْ,
(26:72:3:1),yasomaEu,V,STEM|POS:V|IMPF|LEM:samiEa|ROOT:smE|3MP,يَسْمَعُ,
(26:72:3:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:72:3:3),kumo,PRON,SUFFIX|PRON:2MP,كُمْ,
(26:72:4:1),<i*o,T,STEM|POS:T|LEM:<i*,إِذْ,
(26:72:5:1),tadoEu,V,STEM|POS:V|IMPF|LEM:daEaA|ROOT:dEw|2MP,تَدْعُ,
(26:72:5:2),wna,PRON,SUFFIX|PRON:2MP,ونَ,
(26:73:1:1),>awo,CONJ,STEM|POS:CONJ|LEM:>aw,أَوْ,
(26:73:2:1),yanfaEu,V,STEM|POS:V|IMPF|LEM:nafaEa|ROOT:nfE|3MP,يَنفَعُ,
(26:73:2:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:73:2:3),kumo,PRON,SUFFIX|PRON:2MP,كُمْ,
(26:73:3:1),>awo,CONJ,STEM|POS:CONJ|LEM:>aw,أَوْ,
(26:73:4:1),yaDur~u,V,STEM|POS:V|IMPF|LEM:yaDur~a|ROOT:Drr|3MP,يَضُرُّ,
(26:73:4:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:74:1:1),qaAlu,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP,قَالُ,
(26:74:1:2),wA@,PRON,SUFFIX|PRON:3MP,وا@,
(26:74:2:1),balo,RET,STEM|POS:RET|LEM:bal,بَلْ,
(26:74:3:1),wajado,V,STEM|POS:V|PERF|LEM:wajada|ROOT:wjd|1P,وَجَدْ,
(26:74:3:2),naA^,PRON,SUFFIX|PRON:1P,نَا^,
(26:74:4:1),'aAbaA^'a,N,STEM|POS:N|LEM:A^baA'|ROOT:Abw|MP|ACC,ءَابَا^ءَ,
(26:74:4:2),naA,PRON,SUFFIX|PRON:1P,نَا,
(26:74:5:1),ka,P,PREFIX|ka+,كَ,
(26:74:5:2),*a`lika,DEM,STEM|POS:DEM|LEM:*a`lik|MS,ذَٰلِكَ,
(26:74:6:1),yafoEalu,V,STEM|POS:V|IMPF|LEM:faEala|ROOT:fEl|3MP,يَفْعَلُ,
(26:74:6:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:75:1:1),qaAla,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS,قَالَ,
(26:75:2:1),>a,INTG,PREFIX|A:INTG+,أَ,
(26:75:2:2),fa,SUP,PREFIX|f:SUP+,فَ,
(26:75:2:3),ra'ayo,V,STEM|POS:V|PERF|LEM:ra'aA|ROOT:rAy|2MP,رَءَيْ,
(26:75:2:4),tum,PRON,SUFFIX|PRON:2MP,تُم,
(26:75:3:1),m~aA,REL,STEM|POS:REL|LEM:maA,مَّا,
(26:75:4:1),kun,V,STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MP,كُن,
(26:75:4:2),tumo,PRON,SUFFIX|PRON:2MP,تُمْ,
(26:75:5:1),taEobudu,V,STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|2MP,تَعْبُدُ,
(26:75:5:2),wna,PRON,SUFFIX|PRON:2MP,ونَ,
(26:76:1:1),>antumo,PRON,STEM|POS:PRON|2MP,أَنتُمْ,
(26:76:2:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:76:2:2),'aAbaA^&u,N,STEM|POS:N|LEM:A^baA'|ROOT:Abw|MP|NOM,ءَابَا^ؤُ,
(26:76:2:3),kumu,PRON,SUFFIX|PRON:2MP,كُمُ,
(26:76:3:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:76:3:2),>aqodamuwna,N,STEM|POS:N|LEM:>aqodamuwn|ROOT:qdm|MP|NOM,أَقْدَمُونَ,
(26:77:1:1),fa,REM,PREFIX|f:REM+,فَ,
(26:77:1:2),<in~a,ACC,STEM|POS:ACC|LEM:<in~|SP:<in~,إِنَّ,
(26:77:1:3),humo,PRON,SUFFIX|PRON:3MP,هُمْ,
(26:77:2:1),Eaduw~N,N,STEM|POS:N|LEM:Eaduw~|ROOT:Edw|M|INDEF|NOM,عَدُوٌّ,
(26:77:3:1),l~i,P,PREFIX|l:P+,لِّ,
(26:77:3:2),Y^,PRON,STEM|POS:PRON|1S,ى^,
(26:77:4:1),<il~aA,RES,STEM|POS:RES|LEM:<il~aA,إِلَّا,
(26:77:5:1),rab~a,N,STEM|POS:N|LEM:rab~|ROOT:rbb|M|ACC,رَبَّ,
(26:77:6:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:77:6:2),Ea`lamiyna,N,STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN,عَٰلَمِينَ,
(26:78:1:1),{l~a*iY,REL,STEM|POS:REL|LEM:{l~a*iY|MS,ٱلَّذِى,
(26:78:2:1),xalaqa,V,STEM|POS:V|PERF|LEM:xalaqa|ROOT:xlq|3MS,خَلَقَ,
(26:78:2:2),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:78:3:1),fa,CONJ,PREFIX|f:CONJ+,فَ,
(26:78:3:2),huwa,PRON,STEM|POS:PRON|3MS,هُوَ,
(26:78:4:1),yahodiy,V,STEM|POS:V|IMPF|LEM:hadaY|ROOT:hdy|3MS,يَهْدِي,
(26:78:4:2),ni,PRON,SUFFIX|PRON:1S,نِ,
(26:79:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:79:1:2),{l~a*iY,REL,STEM|POS:REL|LEM:{l~a*iY|MS,ٱلَّذِى,
(26:79:2:1),huwa,PRON,STEM|POS:PRON|3MS,هُوَ,
(26:79:3:1),yuToEimu,V,STEM|POS:V|IMPF|(IV)|LEM:>aToEama|ROOT:TEm|3MS,يُطْعِمُ,
(26:79:3:2),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:79:4:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:79:4:2),yasoqiy,V,STEM|POS:V|IMPF|LEM:saqaY`|ROOT:sqy|3MS,يَسْقِي,
(26:79:4:3),ni,PRON,SUFFIX|PRON:1S,نِ,
(26:80:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:80:1:2),<i*aA,T,STEM|POS:T|LEM:<i*aA,إِذَا,
(26:80:2:1),mariDo,V,STEM|POS:V|PERF|LEM:mariDo|ROOT:mrD|1S,مَرِضْ,
(26:80:2:2),tu,PRON,SUFFIX|PRON:1S,تُ,
(26:80:3:1),fa,REM,PREFIX|f:REM+,فَ,
(26:80:3:2),huwa,PRON,STEM|POS:PRON|3MS,هُوَ,
(26:80:4:1),ya$ofiy,V,STEM|POS:V|IMPF|LEM:ya$ofi|ROOT:$fy|3MS,يَشْفِي,
(26:80:4:2),ni,PRON,SUFFIX|PRON:1S,نِ,
(26:81:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:81:1:2),{l~a*iY,REL,STEM|POS:REL|LEM:{l~a*iY|MS,ٱلَّذِى,
(26:81:2:1),yumiytu,V,STEM|POS:V|IMPF|(IV)|LEM:>amaAta|ROOT:mwt|3MS,يُمِيتُ,
(26:81:2:2),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:81:3:1),vum~a,CONJ,STEM|POS:CONJ|LEM:vum~,ثُمَّ,
(26:81:4:1),yuHoyiy,V,STEM|POS:V|IMPF|(IV)|LEM:>aHoyaA|ROOT:Hyy|3MS,يُحْيِي,
(26:81:4:2),ni,PRON,SUFFIX|PRON:1S,نِ,
(26:82:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:82:1:2),{l~a*iY^,REL,STEM|POS:REL|LEM:{l~a*iY|MS,ٱلَّذِى^,
(26:82:2:1),>aTomaEu,V,STEM|POS:V|IMPF|LEM:yaTomaEu|ROOT:TmE|1S,أَطْمَعُ,
(26:82:3:1),>an,SUB,STEM|POS:SUB|LEM:>an,أَن,
(26:82:4:1),yagofira,V,STEM|POS:V|IMPF|LEM:gafara|ROOT:gfr|3MS|MOOD:SUBJ,يَغْفِرَ,
(26:82:5:1),li,P,PREFIX|l:P+,لِ,
(26:82:5:2),Y,PRON,STEM|POS:PRON|1S,ى,
(26:82:6:1),xaTiy^_#ati,N,STEM|POS:N|LEM:xaTiy^_#ap|ROOT:xTA|F|NOM,خَطِي^ـ#َتِ,
(26:82:6:2),Y,PRON,SUFFIX|PRON:1S,ى,
(26:82:7:1),yawoma,N,STEM|POS:N|LEM:yawom|ROOT:ywm|M|ACC,يَوْمَ,
(26:82:8:1),{l,DET,PREFIX|Al+,ٱل,
(26:82:8:2),d~iyni,N,STEM|POS:N|LEM:diyn|ROOT:dyn|M|GEN,دِّينِ,
(26:83:1:1),rab~i,N,STEM|POS:N|LEM:rab~|ROOT:rbb|M|NOM,رَبِّ,
(26:83:2:1),habo,V,STEM|POS:V|IMPV|LEM:wahaba|ROOT:whb|2MS,هَبْ,
(26:83:3:1),li,P,PREFIX|l:P+,لِ,
(26:83:3:2),Y,PRON,STEM|POS:PRON|1S,ى,
(26:83:4:1),HukomFA,N,STEM|POS:N|LEM:Hukom|ROOT:Hkm|M|INDEF|ACC,حُكْمًا,
(26:83:5:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:83:5:2),>aloHiqo,V,STEM|POS:V|IMPV|(IV)|LEM:>aloHaqo|ROOT:lHq|2MS,أَلْحِقْ,
(26:83:5:3),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:83:6:1),bi,P,PREFIX|bi+,بِ,
(26:83:6:2),{l,DET,PREFIX|Al+,ٱل,
(26:83:6:3),S~a`liHiyna,N,STEM|POS:N|ACT|PCPL|LEM:Sa`liH|ROOT:SlH|MP|GEN,صَّٰلِحِينَ,
(26:84:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:84:1:2),{joEal,V,STEM|POS:V|IMPV|LEM:jaEala|ROOT:jEl|2MS,ٱجْعَل,
(26:84:2:1),l~i,P,PREFIX|l:P+,لِّ,
(26:84:2:2),Y,PRON,STEM|POS:PRON|1S,ى,
(26:84:3:1),lisaAna,N,STEM|POS:N|LEM:lisaAn|ROOT:lsn|M|ACC,لِسَانَ,
(26:84:4:1),SidoqK,N,STEM|POS:N|LEM:Sidoq|ROOT:Sdq|M|INDEF|GEN,صِدْقٍ,
(26:84:5:1),fiY,P,STEM|POS:P|LEM:fiY,فِى,
(26:84:6:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:84:6:2),'aAxiriyna,N,STEM|POS:N|LEM:A^xir|ROOT:Axr|MP|GEN,ءَاخِرِينَ,
(26:85:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:85:1:2),{joEalo,V,STEM|POS:V|IMPV|LEM:jaEala|ROOT:jEl|2MS,ٱجْعَلْ,
(26:85:1:3),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:85:2:1),min,P,STEM|POS:P|LEM:min,مِن,
(26:85:3:1),waravapi,N,STEM|POS:N|ACT|PCPL|LEM:waAriv|ROOT:wrv|MP|GEN,وَرَثَةِ,
(26:85:4:1),jan~api,N,STEM|POS:N|LEM:jan~ap|ROOT:jnn|F|GEN,جَنَّةِ,
(26:85:5:1),{l,DET,PREFIX|Al+,ٱل,
(26:85:5:2),n~aEiymi,N,STEM|POS:N|LEM:naEiym|ROOT:nEm|M|GEN,نَّعِيمِ,
(26:86:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:86:1:2),{gofiro,V,STEM|POS:V|IMPV|LEM:gafara|ROOT:gfr|2MS,ٱغْفِرْ,
(26:86:2:1),li,P,PREFIX|l:P+,لِ,
(26:86:2:2),>abiY^,N,STEM|POS:N|LEM:>abN|ROOT:Abw|MS|GEN,أَبِى^,
(26:86:3:1),<in~a,ACC,STEM|POS:ACC|LEM:<in~|SP:<in~,إِنَّ,
(26:86:3:2),hu,,PRON,هُ,
(26:86:4:1),kaAna,V,STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS,كَانَ,
(26:86:5:1),mina,P,STEM|POS:P|LEM:min,مِنَ,
(26:86:6:1),{l,DET,PREFIX|Al+,ٱل,
(26:86:6:2),D~aA^l~iyna,N,STEM|POS:N|ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN,ضَّا^لِّينَ,
(26:87:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:87:1:2),laA,NEG,STEM|POS:NEG|LEM:laA,لَا,
(26:87:2:1),tuxozi,V,STEM|POS:V|IMPF|(IV)|LEM:>axozayo|ROOT:xzy|3FS|MOOD:JUS,تُخْزِ,
(26:87:2:2),niY,PRON,SUFFIX|PRON:1S,نِى,
(26:87:3:1),yawoma,N,STEM|POS:N|LEM:yawom|ROOT:ywm|M|ACC,يَوْمَ,
(26:87:4:1),yuboEavu,V,STEM|POS:V|IMPF|PASS|LEM:baEava|ROOT:bEv|3MP,يُبْعَثُ,
(26:87:4:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:88:1:1),yawoma,N,STEM|POS:N|LEM:yawom|ROOT:ywm|M|ACC,يَوْمَ,
(26:88:2:1),laA,NEG,STEM|POS:NEG|LEM:laA,لَا,
(26:88:3:1),yanfaEu,V,STEM|POS:V|IMPF|LEM:nafaEa|ROOT:nfE|3MS,يَنفَعُ,
(26:88:4:1),maAlN,N,STEM|POS:N|LEM:maAl|ROOT:mwl|M|INDEF|NOM,مَالٌ,
(26:88:5:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:88:5:2),laA,NEG,STEM|POS:NEG|LEM:laA,لَا,
(26:88:6:1),banuwna,N,STEM|POS:N|LEM:bunaY~|ROOT:bny|MP|NOM,بَنُونَ,
(26:89:1:1),<il~aA,RES,STEM|POS:RES|LEM:<il~aA,إِلَّا,
(26:89:2:1),mano,REL,STEM|POS:REL|LEM:man,مَنْ,
(26:89:3:1),>ataY,V,STEM|POS:V|PERF|LEM:>ataY|ROOT:Aty|3MS,أَتَى,
(26:89:4:1),{ll~aha,PN,STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC,ٱللَّهَ,
(26:89:5:1),bi,P,PREFIX|bi+,بِ,
(26:89:5:2),qalobK,N,STEM|POS:N|LEM:qalob|ROOT:qlb|FS|INDEF|GEN,قَلْبٍ,
(26:89:6:1),saliymK,N,STEM|POS:N|LEM:saliym|ROOT:slm|M|INDEF|GEN,سَلِيمٍ,
(26:90:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:90:1:2),>uzolifati,V,STEM|POS:V|PERF|PASS|(IV)|LEM:>uzolifato|ROOT:zlf|3FS,أُزْلِفَتِ,
(26:90:2:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:90:2:2),jan~apu,PN,STEM|POS:PN|LEM:jan~ap|ROOT:jnn|F|NOM,جَنَّةُ,
(26:90:3:1),li,P,PREFIX|l:P+,لِ,
(26:90:3:2),lo,DET,PREFIX|Al+,لْ,
(26:90:3:3),mut~aqiyna,N,STEM|POS:N|ACT|PCPL|(VIII)|LEM:mut~aqiyn|ROOT:wqy|MP|GEN,مُتَّقِينَ,
(26:91:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:91:1:2),bur~izati,V,STEM|POS:V|PERF|PASS|(II)|LEM:bur~izati|ROOT:brz|3FS,بُرِّزَتِ,
(26:91:2:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:91:2:2),jaHiymu,N,STEM|POS:N|LEM:jaHiym|ROOT:jHm|F|NOM,جَحِيمُ,
(26:91:3:1),li,P,PREFIX|l:P+,لِ,
(26:91:3:2),lo,DET,PREFIX|Al+,لْ,
(26:91:3:3),gaAwiyna,N,STEM|POS:N|ACT|PCPL|LEM:ga`wiyn|ROOT:gwy|MP|GEN,غَاوِينَ,
(26:92:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:92:1:2),qiyla,V,STEM|POS:V|PERF|PASS|LEM:qaAla|ROOT:qwl|3MS,قِيلَ,
(26:92:2:1),la,P,PREFIX|l:P+,لَ,
(26:92:2:2),humo,PRON,STEM|POS:PRON|3MP,هُمْ,
(26:92:3:1),>ayona,INTG,STEM|POS:INTG|LEM:>ayon,أَيْنَ,
(26:92:4:1),maA,REL,STEM|POS:REL|LEM:maA,مَا,
(26:92:5:1),kun,V,STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MP,كُن,
(26:92:5:2),tumo,PRON,SUFFIX|PRON:2MP,تُمْ,
(26:92:6:1),taEobudu,V,STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|2MP,تَعْبُدُ,
(26:92:6:2),wna,PRON,SUFFIX|PRON:2MP,ونَ,
(26:93:1:1),min,P,STEM|POS:P|LEM:min,مِن,
(26:93:2:1),duwni,N,STEM|POS:N|LEM:duwn|ROOT:dwn|GEN,دُونِ,
(26:93:3:1),{ll~ahi,PN,STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN,ٱللَّهِ,
(26:93:4:1),halo,INTG,STEM|POS:INTG|LEM:hal,هَلْ,
(26:93:5:1),yanSuru,V,STEM|POS:V|IMPF|LEM:naSara|ROOT:nSr|3MP,يَنصُرُ,
(26:93:5:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:93:5:3),kumo,PRON,SUFFIX|PRON:2MP,كُمْ,
(26:93:6:1),>awo,CONJ,STEM|POS:CONJ|LEM:>aw,أَوْ,
(26:93:7:1),yantaSiru,V,STEM|POS:V|IMPF|(VIII)|LEM:{ntaSara|ROOT:nSr|3MP,يَنتَصِرُ,
(26:93:7:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:94:1:1),fa,REM,PREFIX|f:REM+,فَ,
(26:94:1:2),kubokibu,V,STEM|POS:V|PERF|PASS|LEM:kubokibu|ROOT:kbkb|3MP,كُبْكِبُ,
(26:94:1:3),wA@,PRON,SUFFIX|PRON:3MP,وا@,
(26:94:2:1),fiy,P,STEM|POS:P|LEM:fiY,فِي,
(26:94:2:2),haA,PRON,SUFFIX|PRON:3FS,هَا,
(26:94:3:1),humo,PRON,STEM|POS:PRON|3MP,هُمْ,
(26:94:4:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:94:4:2),{lo,DET,PREFIX|Al+,ٱلْ,
(26:94:4:3),gaAwu,na,N,غَاوُ,
(26:95:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:95:1:2),junuwdu,N,STEM|POS:N|LEM:jund|ROOT:jnd|MP|NOM,جُنُودُ,
(26:95:2:1),<iboliysa,PN,STEM|POS:PN|LEM:<iboliys|M|ACC,إِبْلِيسَ,
(26:95:3:1),>ajomaEuwna,N,STEM|POS:N|LEM:>ajomaEiyn|ROOT:jmE|MP|NOM,أَجْمَعُونَ,
(26:96:1:1),qaAlu,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP,قَالُ,
(26:96:1:2),wA@,PRON,SUFFIX|PRON:3MP,وا@,
(26:96:2:1),wa,CIRC,PREFIX|w:CIRC+,وَ,
(26:96:2:2),humo,PRON,STEM|POS:PRON|3MP,هُمْ,
(26:96:3:1),fiy,P,STEM|POS:P|LEM:fiY,فِي,
(26:96:3:2),haA,PRON,SUFFIX|PRON:3FS,هَا,
(26:96:4:1),yaxotaSimu,V,STEM|POS:V|IMPF|(VIII)|LEM:{xotaSamu|ROOT:xSm|3MP,يَخْتَصِمُ,
(26:96:4:2),wna,PRON,SUFFIX|PRON:3MP,ونَ,
(26:97:1:1),ta,P,PREFIX|ta+,تَ,
(26:97:1:2),{ll~ahi,PN,STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN,ٱللَّهِ,
(26:97:2:1),<in,COND,STEM|POS:COND|LEM:<in,إِن,
(26:97:3:1),ku,V,STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|1P,كُ,
(26:97:3:2),n~aA,PRON,SUFFIX|PRON:1P,نَّا,
(26:97:4:1),la,EMPH,PREFIX|l:EMPH+,لَ,
(26:97:4:2),fiY,P,STEM|POS:P|LEM:fiY,فِى,
(26:97:5:1),Dala`lK,N,STEM|POS:N|LEM:Dala`l|ROOT:Dll|M|INDEF|GEN,ضَلَٰلٍ,
(26:97:6:1),m~ubiynK,N,STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|GEN,مُّبِينٍ,
(26:98:1:1),<i*o,T,STEM|POS:T|LEM:<i*,إِذْ,
(26:98:2:1),nusaw~iy,V,STEM|POS:V|IMPF|(II)|LEM:saw~aY`|ROOT:swy|1P,نُسَوِّي,
(26:98:2:2),kum,PRON,SUFFIX|PRON:2MP,كُم,
(26:98:3:1),bi,P,PREFIX|bi+,بِ,
(26:98:3:2),rab~i,N,STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN,رَبِّ,
(26:98:4:1),{lo,DET,PREFIX|Al+,ٱلْ,
(26:98:4:2),Ea`lamiyna,N,STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN,عَٰلَمِينَ,
(26:99:1:1),wa,CONJ,PREFIX|w:CONJ+,وَ,
(26:99:1:2),maA^,NEG,STEM|POS:NEG|LEM:maA,مَا^,
